,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64
fact,"Population estimates, July 1, 2016,  (V2016)","Population estimates base, April 1, 2010,  (V2016)","Population, percent change - April 1, 2010 (estimates base) to July 1, 2016,  (V2016)","Population, Census, April 1, 2010","Persons under 5 years, percent, July 1, 2016,  (V2016)","Persons under 5 years, percent, April 1, 2010","Persons under 18 years, percent, July 1, 2016,  (V2016)","Persons under 18 years, percent, April 1, 2010","Persons 65 years and over, percent,  July 1, 2016,  (V2016)","Persons 65 years and over, percent, April 1, 2010","Female persons, percent,  July 1, 2016,  (V2016)","Female persons, percent, April 1, 2010","White alone, percent, July 1, 2016,  (V2016)","Black or African American alone, percent, July 1, 2016,  (V2016)","American Indian and Alaska Native alone, percent, July 1, 2016,  (V2016)","Asian alone, percent, July 1, 2016,  (V2016)","Native Hawaiian and Other Pacific Islander alone, percent, July 1, 2016,  (V2016)","Two or More Races, percent, July 1, 2016,  (V2016)","Hispanic or Latino, percent, July 1, 2016,  (V2016)","White alone, not Hispanic or Latino, percent, July 1, 2016,  (V2016)","Veterans, 2011-2015","Foreign born persons, percent, 2011-2015","Housing units,  July 1, 2016,  (V2016)","Housing units, April 1, 2010","Owner-occupied housing unit rate, 2011-2015","Median value of owner-occupied housing units, 2011-2015","Median selected monthly owner costs -with a mortgage, 2011-2015","Median selected monthly owner costs -without a mortgage, 2011-2015","Median gross rent, 2011-2015","Building permits, 2016","Households, 2011-2015","Persons per household, 2011-2015","Living in same house 1 year ago, percent of persons age 1 year+, 2011-2015","Language other than English spoken at home, percent of persons age 5 years+, 2011-2015","High school graduate or higher, percent of persons age 25 years+, 2011-2015","Bachelor's degree or higher, percent of persons age 25 years+, 2011-2015","With a disability, under age 65 years, percent, 2011-2015","Persons  without health insurance, under age 65 years, percent","In civilian labor force, total, percent of population age 16 years+, 2011-2015","In civilian labor force, female, percent of population age 16 years+, 2011-2015","Total accommodation and food services sales, 2012 ($1,000)","Total health care and social assistance receipts/revenue, 2012 ($1,000)","Total manufacturers shipments, 2012 ($1,000)","Total merchant wholesaler sales, 2012 ($1,000)","Total retail sales, 2012 ($1,000)","Total retail sales per capita, 2012","Mean travel time to work (minutes), workers age 16 years+, 2011-2015","Median household income (in 2015 dollars), 2011-2015","Per capita income in past 12 months (in 2015 dollars), 2011-2015","Persons in poverty, percent","Total employer establishments, 2015","Total employment, 2015","Total annual payroll, 2015 ($1,000)","Total employment, percent change, 2014-2015","Total nonemployer establishments, 2015","All firms, 2012","Men-owned firms, 2012","Women-owned firms, 2012","Minority-owned firms, 2012","Nonminority-owned firms, 2012","Veteran-owned firms, 2012","Nonveteran-owned firms, 2012","Population per square mile, 2010","Land area in square miles, 2010",FIPS Code
georgia,"1,03,10,371","96,88,680",6.40%,"96,87,653",6.40%,7.10%,24.40%,25.70%,13.10%,10.70%,51.30%,51.20%,61.20%,32.00%,0.50%,4.10%,0.10%,2.10%,9.40%,53.40%,"6,70,617",9.80%,"42,18,776","40,88,801",63.30%,"$148,100 ","$1,346 ",$392 ,$879 ,"51,675","35,74,362",2.73,84.00%,13.60%,85.40%,28.80%,8.80%,14.80%,62.30%,57.90%,"1,89,76,611","5,18,00,643","15,58,36,792","14,36,45,290","11,98,01,495","$12,077 ",27.4,"$49,620 ","$25,737 ",16.00%,"2,24,593","36,92,490","17,48,39,354",4.00%,"8,70,897","9,29,864","4,80,578","3,76,506","3,71,588","5,38,893","96,787","8,00,585",168.4,"57,513.49","""13"""
hawaii,"14,28,557","13,60,301",5.00%,"13,60,301",6.40%,6.40%,21.60%,22.30%,17.10%,14.30%,49.80%,49.90%,25.80%,2.20%,0.40%,37.70%,10.20%,23.70%,10.40%,22.10%,"1,10,238",17.70%,"5,37,114","5,19,508",56.90%,"$515,300 ","$2,270 ",$505 ,"$1,438 ","3,369","4,50,572",3.02,85.10%,25.20%,91.00%,30.80%,6.50%,4.20%,61.50%,58.80%,"95,36,706","81,36,947",D,"96,07,982","1,89,01,745","$13,576 ",26.8,"$69,515 ","$29,822 ",9.30%,"31,915","5,23,677","2,20,68,393",0.90%,"1,04,707","1,18,454","60,409","44,453","74,208","38,510","11,148","1,01,334",211.8,"6,422.63","""15"""
idaho,"16,83,140","15,67,650",7.40%,"15,67,582",6.80%,7.80%,26.00%,27.40%,15.10%,12.40%,49.90%,49.90%,93.30%,0.80%,1.80%,1.50%,0.20%,2.40%,12.30%,82.40%,"1,19,711",6.10%,"7,00,825","6,67,796",68.90%,"$162,900 ","$1,189 ",$340 ,$743 ,"12,165","5,89,320",2.69,82.40%,10.60%,89.50%,25.90%,9.00%,11.80%,62.60%,56.80%,"26,80,225","78,95,614","2,02,01,432","1,79,06,012","2,04,44,278","$12,812 ",20.2,"$47,583 ","$23,399 ",14.40%,"44,757","5,46,524","2,11,19,617",3.00%,"1,22,221","1,46,642","70,438","45,121","10,592","1,30,973","12,804","1,24,314",19,"82,643.12","""16"""
illinois,"1,28,01,539","1,28,31,574",-0.20%,"1,28,30,632",6.00%,6.50%,22.90%,24.40%,14.60%,12.50%,50.90%,51.00%,77.20%,14.70%,0.60%,5.50%,0.10%,1.90%,17.00%,61.70%,"6,68,933",14.00%,"53,26,970","52,96,715",66.40%,"$173,800 ","$1,636 ",$574 ,$907 ,"22,603","47,86,388",2.63,86.80%,22.70%,87.90%,32.30%,7.10%,7.40%,65.60%,60.70%,"2,79,37,381","8,34,31,778","28,10,37,755","29,54,56,992","16,66,34,514","$12,942 ",28.4,"$57,574 ","$30,494 ",13.00%,"3,18,266","54,27,549","28,91,83,546",2.20%,"9,68,330","11,35,017","6,09,648","4,17,500","3,11,684","7,95,129","89,110","10,06,885",231.1,"55,518.93","""17"""
indiana,"66,33,053","64,84,136",2.30%,"64,83,802",6.40%,6.70%,23.80%,24.80%,14.90%,13.00%,50.70%,50.80%,85.60%,9.70%,0.40%,2.20%,0.10%,2.00%,6.80%,79.60%,"4,26,493",4.80%,"28,54,546","27,95,541",69.00%,"$124,200 ","$1,102 ",$378 ,$745 ,"18,713","25,01,937",2.55,85.00%,8.30%,87.80%,24.10%,9.70%,9.40%,63.90%,59.00%,"1,30,76,602","4,24,93,117","24,27,63,842","8,11,73,422","8,58,57,962","$13,133 ",23.3,"$49,255 ","$25,346 ",14.10%,"1,45,116","26,60,503","11,33,15,432",2.20%,"4,03,546","4,79,059","2,53,533","1,62,798","61,252","4,05,090","45,174","4,12,543",181,"35,826.11","""18"""
iowa,"31,34,693","30,46,869",2.90%,"30,46,355",6.40%,6.60%,23.30%,23.90%,16.40%,14.90%,50.30%,50.50%,91.40%,3.70%,0.50%,2.50%,0.10%,1.80%,5.80%,86.20%,"2,11,066",4.70%,"13,80,162","13,36,417",71.50%,"$129,200 ","$1,171 ",$434 ,$697 ,"14,317","12,36,409",2.42,84.80%,7.40%,91.50%,26.70%,7.90%,5.00%,67.60%,63.30%,"54,68,687","1,85,83,828","11,66,68,830","6,23,18,301","4,49,05,624","$14,607 ",18.9,"$53,183 ","$27,950 ",11.80%,"80,952","13,38,418","5,50,79,743",1.70%,"2,07,167","2,59,121","1,35,382","82,345","14,707","2,36,561","25,889","2,17,779",54.5,"55,857.13","""19"""
kansas,"29,07,289","28,53,129",1.90%,"28,53,118",6.70%,7.20%,24.60%,25.50%,15.00%,13.20%,50.20%,50.40%,86.60%,6.20%,1.20%,3.00%,0.10%,2.90%,11.60%,76.30%,"1,98,396",6.90%,"12,59,864","12,33,215",66.70%,"$132,000 ","$1,282 ",$455 ,$757 ,"9,807","11,13,472",2.53,83.50%,11.30%,90.20%,31.00%,8.60%,10.10%,66.30%,61.60%,"48,73,411","1,82,48,370","8,60,76,260","6,02,26,324","3,82,76,461","$13,263 ",19.1,"$52,205 ","$27,706 ",12.10%,"74,526","11,89,876","5,12,59,676",1.00%,"1,95,777","2,39,118","1,25,169","77,194","26,127","2,04,562","21,610","2,03,401",34.9,"81,758.72","""20"""
kentucky,"44,36,974","43,39,344",2.20%,"43,39,367",6.20%,6.50%,22.80%,23.60%,15.60%,13.30%,50.70%,50.80%,88.00%,8.30%,0.30%,1.50%,0.10%,1.90%,3.50%,85.00%,"2,97,312",3.40%,"19,65,556","19,27,164",67.20%,"$123,200 ","$1,112 ",$339 ,$675 ,"12,714","17,08,499",2.5,84.70%,5.10%,84.20%,22.30%,12.90%,6.00%,59.10%,54.90%,"75,00,115","2,62,64,745","12,92,84,438","7,17,45,899","5,48,69,978","$12,526 ",23,"$43,740 ","$24,063 ",18.50%,"91,845","15,79,477","6,37,41,066",2.90%,"2,80,835","3,31,546","1,84,154","1,06,011","27,258","2,96,155","33,208","2,82,704",109.9,"39,486.34","""21"""
louisiana,"46,81,666","45,33,479",3.30%,"45,33,372",6.60%,6.90%,23.80%,24.70%,14.40%,12.30%,51.10%,51.00%,63.20%,32.60%,0.80%,1.80%,0.10%,1.60%,5.00%,59.00%,"2,81,989",4.00%,"20,36,975","19,64,981",65.80%,"$144,100 ","$1,200 ",$317 ,$788 ,"14,503","17,27,919",2.6,86.30%,8.50%,83.40%,22.50%,11.00%,11.90%,60.40%,56.00%,"1,16,97,949","2,79,51,792","27,11,91,050","6,80,12,838","6,13,96,364","$13,342 ",25.1,"$45,047 ","$24,981 ",20.20%,"1,05,575","17,24,973","7,66,84,760",0.40%,"3,58,223","4,14,291","2,15,111","1,51,114","1,26,100","2,77,676","42,211","3,54,460",104.9,"43,203.90","""22"""
maine,"13,31,479","13,28,364",0.20%,"13,28,361",4.90%,5.20%,19.10%,20.70%,19.40%,15.90%,51.00%,51.10%,94.80%,1.50%,0.70%,1.20%,Z,1.70%,1.60%,93.50%,"1,19,058",3.50%,"7,30,705","7,21,830",71.20%,"$173,800 ","$1,336 ",$477 ,$777 ,"4,010","5,53,284",2.34,85.90%,6.60%,91.60%,29.00%,11.90%,9.90%,63.40%,59.90%,"29,01,347","1,02,97,043","1,60,44,543","1,29,61,262","2,15,21,714","$16,192 ",23.6,"$49,331 ","$27,655 ",12.50%,"40,801","5,00,549","2,04,13,159",1.60%,"1,13,012","1,39,570","79,243","42,067","4,339","1,31,322","15,689","1,15,839",43.1,"30,842.92","""23"""
