start_lat,start_lng,end_lat,end_lng,start_station_id,end_station_id,weekday_name,cnt
37.772,-122.4537,37.772,-122.4537,377.0,377.0,Monday,14
37.7691,-122.3863,37.7691,-122.3863,460.0,460.0,Sunday,14
37.7658,-122.4576,37.7658,-122.4576,458.0,458.0,Saturday,14
37.7752,-122.465,37.7752,-122.465,454.0,454.0,Thursday,14
37.7881,-122.3919,37.7881,-122.3919,27.0,27.0,Friday,14
37.7864,-122.4049,37.7864,-122.4049,3.0,3.0,Saturday,14
37.8089,-122.2565,37.8088,-122.2497,196.0,197.0,Saturday,14
37.7713,-122.3866,37.7713,-122.3866,461.0,461.0,Thursday,14
37.8405,-122.2935,37.8405,-122.2935,155.0,155.0,Monday,13
37.7954,-122.3942,37.7954,-122.3942,15.0,15.0,Friday,13
37.7873,-122.4167,37.7873,-122.4167,369.0,369.0,Sunday,13
37.7259,-122.4524,37.7259,-122.4524,498.0,498.0,Saturday,13
37.8043,-122.4335,37.8026,-122.4363,400.0,399.0,Sunday,13
37.8662,-122.2994,37.8662,-122.2994,259.0,259.0,Tuesday,13
37.8,-122.3985,37.8,-122.3985,8.0,8.0,Saturday,13
37.7976,-122.4235,37.8043,-122.4335,496.0,400.0,Saturday,13
37.8043,-122.4335,37.8043,-122.4335,400.0,400.0,Friday,13
37.8053,-122.2948,37.8053,-122.2948,160.0,160.0,Sunday,13
37.8053,-122.2948,37.8053,-122.2948,160.0,160.0,Saturday,13
37.7872,-122.3881,37.7872,-122.3881,28.0,28.0,Monday,13
37.8002,-122.2538,37.8002,-122.2538,200.0,200.0,Wednesday,13
37.7731,-122.4391,37.7731,-122.4391,71.0,71.0,Friday,13
37.8026,-122.4363,37.8026,-122.4363,399.0,399.0,Saturday,13
37.7724,-122.4356,37.7724,-122.4356,72.0,72.0,Saturday,13
37.8395,-122.2987,37.8395,-122.2987,409.0,409.0,Monday,13
37.8087,-122.2699,37.8087,-122.2699,183.0,183.0,Sunday,13
37.7897,-122.3904,37.7897,-122.3904,24.0,24.0,Monday,13
37.7659,-122.4493,37.7659,-122.4493,440.0,440.0,Sunday,13
37.7662,-122.4311,37.7662,-122.4311,95.0,95.0,Saturday,13
37.7766,-122.4174,37.7766,-122.4174,58.0,58.0,Friday,13
37.7952,-122.274,37.7952,-122.274,203.0,203.0,Saturday,12
37.7733,-122.4443,37.772,-122.4537,70.0,377.0,Sunday,12
37.8023,-122.4245,37.8023,-122.4245,441.0,441.0,Tuesday,12
37.7713,-122.3866,37.7713,-122.3866,461.0,461.0,Friday,12
37.7639,-122.4707,37.7639,-122.4707,450.0,450.0,Monday,12
37.8662,-122.2994,37.8662,-122.2994,259.0,259.0,Wednesday,12
37.7765,-122.4113,37.7765,-122.4113,61.0,61.0,Wednesday,12
37.8123,-122.2608,37.8123,-122.2608,195.0,195.0,Friday,12
37.8002,-122.2538,37.8088,-122.2497,200.0,197.0,Saturday,12
37.772,-122.4537,37.772,-122.4537,377.0,377.0,Wednesday,12
37.8089,-122.2565,37.8089,-122.2565,196.0,196.0,Monday,12
37.8048,-122.4032,37.8048,-122.4032,6.0,6.0,Wednesday,12
37.7765,-122.4113,37.7765,-122.4113,61.0,61.0,Friday,12
37.8662,-122.2994,37.8662,-122.2994,259.0,259.0,Thursday,12
37.7775,-122.4333,37.7775,-122.4333,54.0,54.0,Sunday,12
